id,mitglied,party,sector,country,type
uvdl,Ursula von der Leyen,CDU,1,Deutschland,1
lk,Lars Klingbeil,SPD,1,Deutschland,1
nr,Norbert Röttgen,CDU,1,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,1,Deutschland,1
cs,Constanze Stelzenmüller,NA,2,USA,1
cl,Christian Lindner,FDP,1,Deutschland,1
ks,Karl Schlögel,NA,3,Deutschland,1
lm,Ljudmyla Melnyk,NA,4,Ukraine,1
kd,Kristina Dunz,NA,5,Deutschland,1
el,Egils Levits,NA,1,Lettland,1
ab,Annalena Baerbock,Die Grünen,1,Deutschland,1
ft,Frans Timmermans,NA,1,Niederlande,1
am,Andrij Melnyk,NA,1,Deutschland,1
agl,Alexander Graf Lambsdorff,FDP,1,Deutschland,1
er,Egon Ramms,NA,6,Deutschland,1
rh,Robert Habeck,Die Grünen,1,Deutschland,1
cm,Claudia Major,NA,1,Deutschland,1
kp,Katja Petrowskaja,NA,4,Deutschland,1
rk,Roderich Kiesewetter,CDU,1,Deutschland,1
cl,Christine Lambrecht,SPD,1,Deutschland,1
sb,Stefanie Babst,NA,1,Deutschland,1
ch,Christopf Heusgen,NA,1,Deutschland,1
mw,Marina Weisband,NA,5,Deutschland,1
os,Olaf Scholz,SPD,1,Deutschland,1
fh,Folge Fünfhundert,,NA,NA,2
fhe,Folge Fünfhunderteins,,NA,NA,2
fhz,Folge Fünfhundertzwei,,NA,NA,2
fhd,Folge Fünfhundertdrei,,NA,NA,2
fhv,Folge Fünfhundertvier,,NA,NA,2
fhf,Folge Fünfhundertfünf,,NA,NA,2
CDU,NA,NA,NA,NA,3
SPD,NA,NA,NA,NA,3
Die Linke,NA,NA,NA,NA,3
Die Grünen,NA,NA,NA,NA,3
FDP,NA,NA,NA,NA,3